body type,Brand,model,modelYear,price,Kms Driven,Fuel Type,Transmission,Max Power,Torque,Mileage,Engine,ownerNo,Insurance Validity,Seats,City
SUV,Mercedes-Benz,Mercedes-Benz GLC,2017,42.9,47000,Diesel,Automatic,170.0,400.0,17.9,2143,1,Comprehensive,5,Bangalore
SUV,Nissan,Nissan Terrano,2014,6.5,60000,Diesel,Manual,108.0,248.0,19.01,1461,2,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Swift,2014,4.44,83829,Diesel,Manual,74.0,190.0,25.2,1248,1,Third Party insurance,5,Bangalore
Hatchback,Renault,Renault KWID,2020,5.1,10000,Petrol,Automatic,67.0,91.0,22.0,999,1,Third Party insurance,5,Bangalore
SUV,Renault,Renault Duster,2016,9.25,35000,Diesel,Automatic,108.0,245.0,19.6,1461,2,Comprehensive,5,Bangalore
Sedan,Honda,Honda City,2019,10.24,51116,Petrol,Automatic,117.0,145.0,18.0,1497,2,Comprehensive,5,Bangalore
Sedan,Skoda,Skoda Rapid,2016,5.0,80000,Diesel,Manual,103.0,250.0,21.14,1498,3,Third Party insurance,5,Bangalore
Hatchback,Volkswagen,Volkswagen Polo,2017,9.95,40000,Petrol,Automatic,103.0,175.0,17.21,1197,2,Third Party insurance,5,Bangalore
SUV,Honda,Honda CR-V,2012,9.35,85565,Petrol,Automatic,158.0,218.0,11.1,2354,2,Comprehensive,5,Bangalore
SUV,Ford,Ford Ecosport,2018,8.34,36916,Petrol,Manual,121.0,150.0,17.0,1497,1,Comprehensive,5,Bangalore
Hatchback,Volkswagen,Volkswagen Polo,2015,5.6,90000,Diesel,Manual,88.0,230.0,20.14,1498,1,Third Party insurance,5,Bangalore
Hatchback,Maruti,Maruti Swift,2012,4.54,112795,Petrol,Manual,88.0,113.0,22.38,1197,1,Comprehensive,5,Bangalore
Sedan,Mercedes-Benz,Mercedes-Benz A-Class Limousine,2021,36.9,11000,Petrol,Automatic,160.0,250.0,19.24556842105263,1332,1,Comprehensive,5,Bangalore
MUV,Toyota,Toyota Innova,2014,11.0,120000,Petrol,Manual,130.0,181.0,11.4,1998,2,Third Party insurance,7,Bangalore
Hatchback,Honda,Honda Brio,2016,4.62,36685,Petrol,Manual,86.0,109.0,19.4,1198,2,Comprehensive,5,Bangalore
SUV,Hyundai,Hyundai Santa Fe,2012,9.0,120000,Diesel,Automatic,194.0,436.0,11.72,2199,2,Third Party insurance,7,Bangalore
Sedan,BMW,BMW 6 Series,2022,79.0,4000,Petrol,Automatic,254.0,400.0,13.32,1998,1,Comprehensive,4,Bangalore
